Country_code,Sector,stri2014,average2014,grid,stri,average,OECD
"USA","Broadcasting",.1128604,.293007,2024,.1128604,.3031819,
"PRT","Broadcasting",.13853,.293007,2024,.1197057,.3031819,
"NLD","Broadcasting",.1159408,.293007,2024,.1210747,.3031819,
"LTU","Broadcasting",.1283477,.293007,2024,.1501669,.3031819,
"LUX","Broadcasting",.151707,.293007,2024,.1566698,.3031819,
"CZE","Broadcasting",.1197057,.293007,2024,.1582955,.3031819,
"DNK","Broadcasting",.1761787,.293007,2024,.1623171,.3031819,
"GBR","Broadcasting",.1540173,.293007,2024,.1698468,.3031819,
"DEU","Broadcasting",.1602635,.293007,2024,.1701035,.3031819,
"NZL","Broadcasting",.1420382,.293007,2024,.1796868,.3031819,
"IRL","Broadcasting",.1672799,.293007,2024,.1801147,.3031819,
"ESP","Broadcasting",.1768632,.293007,2024,.189698,.3031819,
"HUN","Broadcasting",.1672799,.293007,2024,.1952597,.3031819,
"EST","Broadcasting",.1997946,.293007,2024,.1967999,.3031819,
"FRA","Broadcasting",.198939,.293007,2024,.2019338,.3031819,
"LVA","Broadcasting",.1880722,.293007,2024,.2068965,.3031819,
"AUS","Broadcasting",.2273466,.293007,2024,.2085223,.3031819,
"SVK","Broadcasting",.1799435,.293007,2024,.2086934,.3031819,
"CRI","Broadcasting",.216651,.293007,2024,.2116882,.3031819,
"SWE","Broadcasting",.212715,.293007,2024,.212715,.3031819,
"BEL","Broadcasting",.2057842,.293007,2024,.214683,.3031819,
"SVN","Broadcasting",.2109181,.293007,2024,.2207581,.3031819,
"FIN","Broadcasting",.2187045,.293007,2024,.2444597,.3031819,
"GRC","Broadcasting",.2584068,.293007,2024,.25738,.3031819,
"OECD","Broadcasting",.2495418,.293007,2024,,.3031819,.2583145
"NOR","Broadcasting",.2344485,.293007,2024,.2631129,.3031819,
"ITA","Broadcasting",.2563532,.293007,2024,.2751775,.3031819,
"CHL","Broadcasting",.2903226,.293007,2024,.2993069,.3031819,
"CAN","Broadcasting",.3013605,.293007,2024,.3013605,.3031819,
"JPN","Broadcasting",.3064944,.293007,2024,.3064944,.3031819,
