cou,Sector_name,stri_score,all_average,Grid
"AUS",".",,,"STRI2024"
"AUS","Legal services",.1469679,.3431566,"STRI2024"
"AUS","Rail freight transport",.1415672,.314982,"STRI2024"
"AUS","Road freight transport",.1118302,.2135189,"STRI2024"
"AUS","Accounting services",.1777172,.3222739,"STRI2024"
"AUS","..............",,,"STRI2024"
"AUS","Construction",.1868349,.2202079,"STRI2024"
"AUS","Freight-forwarding",.1890909,.2036601,"STRI2024"
"AUS","Architecture services",.225276,.2411866,"STRI2024"
"AUS","Courier services",.3617205,.2521062,"STRI2024"
"AUS","..",,,"STRI2024"
"AUT",".",,,"STRI2024"
"AUT","Courier services",.1203555,.2521062,"STRI2024"
"AUT","Rail freight transport",.17188,.314982,"STRI2024"
"AUT","Commercial banking",.1683849,.2253487,"STRI2024"
"AUT","Telecommunication",.1883908,.2323081,"STRI2024"
"AUT","..............",,,"STRI2024"
"AUT","Legal services",.3811041,.3431566,"STRI2024"
"AUT","Broadcasting",.3483358,.3040617,"STRI2024"
"AUT","Freight-forwarding",.2363636,.2036601,"STRI2024"
"AUT","Engineering services",.2532687,.2150542,"STRI2024"
"AUT","..",,,"STRI2024"
"BEL",".",,,"STRI2024"
"BEL","Insurance",.1104642,.208546,"STRI2024"
"BEL","Legal services",.1923329,.3431566,"STRI2024"
"BEL","Rail freight transport",.2015479,.314982,"STRI2024"
"BEL","Broadcasting",.214683,.3040617,"STRI2024"
"BEL","..............",,,"STRI2024"
"BEL","Freight-forwarding",.2230303,.2036601,"STRI2024"
"BEL","Sound recording",.2239807,.1926607,"STRI2024"
"BEL","Architecture services",.2820455,.2411866,"STRI2024"
"BEL","Computer services",.246896,.1985865,"STRI2024"
"BEL","..",,,"STRI2024"
"BRA",".",,,"STRI2024"
"BRA","Air transport",.2065682,.3991205,"STRI2024"
"BRA","Rail freight transport",.2118672,.314982,"STRI2024"
"BRA","Architecture services",.1811219,.2411866,"STRI2024"
"BRA","Customs brokerage",.1898017,.2221667,"STRI2024"
"BRA","..............",,,"STRI2024"
"BRA","Broadcasting",.4371524,.3040617,"STRI2024"
"BRA","Insurance",.3120621,.208546,"STRI2024"
"BRA","Motion pictures",.3248801,.1957463,"STRI2024"
"BRA","Courier services",.4948331,.2521062,"STRI2024"
"BRA","..",,,"STRI2024"
"CAN",".",,,"STRI2024"
"CAN","Rail freight transport",.1257659,.314982,"STRI2024"
"CAN","Legal services",.1675883,.3431566,"STRI2024"
"CAN","Storage and warehouse",.1611775,.2270441,"STRI2024"
"CAN","Freight-forwarding",.1490909,.2036601,"STRI2024"
"CAN","..............",,,"STRI2024"
"CAN","Motion pictures",.2019974,.1957463,"STRI2024"
"CAN","Distribution services",.2266639,.1939113,"STRI2024"
"CAN","Telecommunication",.2857859,.2323081,"STRI2024"
"CAN","Courier services",.3656873,.2521062,"STRI2024"
"CAN","..",,,"STRI2024"
"CHE",".",,,"STRI2024"
"CHE","Rail freight transport",.2508868,.314982,"STRI2024"
"CHE","Architecture services",.1948637,.2411866,"STRI2024"
"CHE","Legal services",.2775331,.3431566,"STRI2024"
"CHE","Distribution services",.1658192,.1939113,"STRI2024"
"CHE","..............",,,"STRI2024"
"CHE","Freight-forwarding",.2484848,.2036601,"STRI2024"
"CHE","Computer services",.2424793,.1985865,"STRI2024"
"CHE","Broadcasting",.3782836,.3040617,"STRI2024"
"CHE","Courier services",.3573706,.2521062,"STRI2024"
"CHE","..",,,"STRI2024"
"CHL",".",,,"STRI2024"
"CHL","Accounting services",.1058129,.3222739,"STRI2024"
"CHL","Legal services",.1215672,.3431566,"STRI2024"
"CHL","Air transport",.150065,.3991205,"STRI2024"
"CHL","Architecture services",.1432755,.2411866,"STRI2024"
"CHL","..............",,,"STRI2024"
"CHL","Sound recording",.1704583,.1926607,"STRI2024"
"CHL","Telecommunication",.2234682,.2323081,"STRI2024"
"CHL","Broadcasting",.2993069,.3040617,"STRI2024"
"CHL","Courier services",.4564016,.2521062,"STRI2024"
"CHL","..",,,"STRI2024"
"CHN",".",,,"STRI2024"
"CHN","Road freight transport",.1327984,.2135189,"STRI2024"
"CHN","Architecture services",.1509349,.2411866,"STRI2024"
"CHN","Engineering services",.1523895,.2150542,"STRI2024"
"CHN","Rail freight transport",.2325056,.314982,"STRI2024"
"CHN","..............",,,"STRI2024"
"CHN","Accounting services",.6821072,.3222739,"STRI2024"
"CHN","Sound recording",.4758765,.1926607,"STRI2024"
"CHN","Motion pictures",.5030843,.1957463,"STRI2024"
"CHN","Telecommunication",.5987778,.2323081,"STRI2024"
"CHN","..",,,"STRI2024"
"COL",".",,,"STRI2024"
"COL","Legal services",.1293467,.3431566,"STRI2024"
"COL","Accounting services",.2031486,.3222739,"STRI2024"
"COL","Rail freight transport",.2060626,.314982,"STRI2024"
"COL","Air transport",.2627,.3991205,"STRI2024"
"COL","..............",,,"STRI2024"
"COL","Cargo-handling",.2705853,.2335852,"STRI2024"
"COL","Commercial banking",.2701031,.2253487,"STRI2024"
"COL","Freight-forwarding",.2569697,.2036601,"STRI2024"
"COL","Broadcasting",.6277916,.3040617,"STRI2024"
"COL","..",,,"STRI2024"
"CRI",".",,,"STRI2024"
"CRI","Legal services",.0889493,.3431566,"STRI2024"
"CRI","Air transport",.2202032,.3991205,"STRI2024"
"CRI","Courier services",.1474122,.2521062,"STRI2024"
"CRI","Architecture services",.155891,.2411866,"STRI2024"
"CRI","..............",,,"STRI2024"
"CRI","Freight-forwarding",.2133333,.2036601,"STRI2024"
"CRI","Storage and warehouse",.2432082,.2270441,"STRI2024"
"CRI","Cargo-handling",.2622245,.2335852,"STRI2024"
"CRI","Road freight transport",.2913539,.2135189,"STRI2024"
"CRI","..",,,"STRI2024"
"CZE",".",,,"STRI2024"
"CZE","Courier services",.0966707,.2521062,"STRI2024"
"CZE","Commercial banking",.0886598,.2253487,"STRI2024"
"CZE","Storage and warehouse",.0931741,.2270441,"STRI2024"
"CZE","Accounting services",.1336664,.3222739,"STRI2024"
"CZE","..............",,,"STRI2024"
"CZE","Construction",.1577577,.2202079,"STRI2024"
"CZE","Engineering services",.1543057,.2150542,"STRI2024"
"CZE","Legal services",.253632,.3431566,"STRI2024"
"CZE","Air transport",.3958405,.3991205,"STRI2024"
"CZE","..",,,"STRI2024"
"DEU",".",,,"STRI2024"
"DEU","Courier services",.1023505,.2521062,"STRI2024"
"DEU","Insurance",.1044911,.208546,"STRI2024"
"DEU","Telecommunication",.1185541,.2323081,"STRI2024"
"DEU","Rail freight transport",.1663979,.314982,"STRI2024"
"DEU","..............",,,"STRI2024"
"DEU","Distribution services",.1505884,.1939113,"STRI2024"
"DEU","Computer services",.1601619,.1985865,"STRI2024"
"DEU","Air transport",.3729475,.3991205,"STRI2024"
"DEU","Road freight transport",.2026922,.2135189,"STRI2024"
"DEU","..",,,"STRI2024"
"DNK",".",,,"STRI2024"
"DNK","Telecommunication",.1236212,.2323081,"STRI2024"
"DNK","Broadcasting",.1623171,.3040617,"STRI2024"
"DNK","Courier services",.135136,.2521062,"STRI2024"
"DNK","Rail freight transport",.1722025,.314982,"STRI2024"
"DNK","..............",,,"STRI2024"
"DNK","Maritime transport",.2336052,.2597716,"STRI2024"
"DNK","Computer services",.1866485,.1985865,"STRI2024"
"DNK","Air transport",.3804282,.3991205,"STRI2024"
"DNK","Road freight transport",.2258607,.2135189,"STRI2024"
"DNK","..",,,"STRI2024"
"ESP",".",,,"STRI2024"
"ESP","Commercial banking",.0611684,.2253487,"STRI2024"
"ESP","Cargo-handling",.085888,.2335852,"STRI2024"
"ESP","Telecommunication",.0909985,.2323081,"STRI2024"
"ESP","Sound recording",.0764919,.1926607,"STRI2024"
"ESP","..............",,,"STRI2024"
"ESP","Insurance",.1405061,.208546,"STRI2024"
"ESP","Accounting services",.2282773,.3222739,"STRI2024"
"ESP","Road freight transport",.1571318,.2135189,"STRI2024"
"ESP","Air transport",.3501605,.3991205,"STRI2024"
"ESP","..",,,"STRI2024"
"EST",".",,,"STRI2024"
"EST","Insurance",.0588487,.208546,"STRI2024"
"EST","Storage and warehouse",.1310751,.2270441,"STRI2024"
"EST","Courier services",.1458736,.2521062,"STRI2024"
"EST","Customs brokerage",.1286591,.2221667,"STRI2024"
"EST","..............",,,"STRI2024"
"EST","Maritime transport",.2815661,.2597716,"STRI2024"
"EST","Construction",.2429138,.2202079,"STRI2024"
"EST","Legal services",.4143781,.3431566,"STRI2024"
"EST","Architecture services",.2951115,.2411866,"STRI2024"
"EST","..",,,"STRI2024"
"FIN",".",,,"STRI2024"
"FIN","Legal services",.1266285,.3431566,"STRI2024"
"FIN","Accounting services",.2129882,.3222739,"STRI2024"
"FIN","Architecture services",.1790944,.2411866,"STRI2024"
"FIN","Telecommunication",.1765851,.2323081,"STRI2024"
"FIN","..............",,,"STRI2024"
"FIN","Computer services",.218304,.1985865,"STRI2024"
"FIN","Road freight transport",.2451463,.2135189,"STRI2024"
"FIN","Insurance",.2410656,.208546,"STRI2024"
"FIN","Distribution services",.2283535,.1939113,"STRI2024"
"FIN","..",,,"STRI2024"
"FRA",".",,,"STRI2024"
"FRA","Courier services",.1008119,.2521062,"STRI2024"
"FRA","Insurance",.0969807,.208546,"STRI2024"
"FRA","Customs brokerage",.1220491,.2221667,"STRI2024"
"FRA","Cargo-handling",.1383329,.2335852,"STRI2024"
"FRA","..............",,,"STRI2024"
"FRA","Motion pictures",.2257906,.1957463,"STRI2024"
"FRA","Accounting services",.3808658,.3222739,"STRI2024"
"FRA","Architecture services",.3084028,.2411866,"STRI2024"
"FRA","Legal services",.4664917,.3431566,"STRI2024"
"FRA","..",,,"STRI2024"
"GBR",".",,,"STRI2024"
"GBR","Legal services",.1210985,.3431566,"STRI2024"
"GBR","Telecommunication",.0977126,.2323081,"STRI2024"
"GBR","Engineering services",.1011046,.2150542,"STRI2024"
"GBR","Rail freight transport",.1483392,.314982,"STRI2024"
"GBR","..............",,,"STRI2024"
"GBR","Sound recording",.1239697,.1926607,"STRI2024"
"GBR","Accounting services",.2299425,.3222739,"STRI2024"
"GBR","Motion pictures",.1473612,.1957463,"STRI2024"
"GBR","Road freight transport",.1812063,.2135189,"STRI2024"
"GBR","..",,,"STRI2024"
"GRC",".",,,"STRI2024"
"GRC","Rail freight transport",.1631732,.314982,"STRI2024"
"GRC","Courier services",.1817364,.2521062,"STRI2024"
"GRC","Storage and warehouse",.1791809,.2270441,"STRI2024"
"GRC","Cargo-handling",.1854573,.2335852,"STRI2024"
"GRC","..............",,,"STRI2024"
"GRC","Insurance",.2451989,.208546,"STRI2024"
